country,iso2,iso3,year,indicator_code,value
Argentina,AR,ARG,2023,SE.SEC.ENRR,105.574584297051
Argentina,AR,ARG,2022,SE.SEC.ENRR,114.14811706543
Argentina,AR,ARG,2021,SE.SEC.ENRR,115.735778808594
Argentina,AR,ARG,2020,SE.SEC.ENRR,112.376731872559
Argentina,AR,ARG,2019,SE.SEC.ENRR,110.460151672363
Argentina,AR,ARG,2018,SE.SEC.ENRR,109.671241760254
Argentina,AR,ARG,2017,SE.SEC.ENRR,110.377799987793
Argentina,AR,ARG,2016,SE.SEC.ENRR,109.598327636719
Argentina,AR,ARG,2015,SE.SEC.ENRR,107.504867553711
Argentina,AR,ARG,2014,SE.SEC.ENRR,106.038902282715
Argentina,AR,ARG,2013,SE.SEC.ENRR,104.540863037109
Argentina,AR,ARG,2012,SE.SEC.ENRR,102.709991455078
Argentina,AR,ARG,2011,SE.SEC.ENRR,100.884559631348
Argentina,AR,ARG,2010,SE.SEC.ENRR,99.0709991455078
Brazil,BR,BRA,2023,SE.SEC.ENRR,
Brazil,BR,BRA,2022,SE.SEC.ENRR,105.702369689941
Brazil,BR,BRA,2021,SE.SEC.ENRR,106.298461914062
Brazil,BR,BRA,2020,SE.SEC.ENRR,103.882659912109
Brazil,BR,BRA,2019,SE.SEC.ENRR,103.667556762695
Brazil,BR,BRA,2018,SE.SEC.ENRR,104.818481445312
Brazil,BR,BRA,2017,SE.SEC.ENRR,102.989486694336
Brazil,BR,BRA,2016,SE.SEC.ENRR,102.692901611328
Brazil,BR,BRA,2015,SE.SEC.ENRR,101.086227416992
Brazil,BR,BRA,2014,SE.SEC.ENRR,102.780311584473
Brazil,BR,BRA,2013,SE.SEC.ENRR,104.086219787598
Brazil,BR,BRA,2012,SE.SEC.ENRR,94.5829467773438
Brazil,BR,BRA,2011,SE.SEC.ENRR,
Brazil,BR,BRA,2010,SE.SEC.ENRR,
Canada,CA,CAN,2023,SE.SEC.ENRR,104.320877075195
Canada,CA,CAN,2022,SE.SEC.ENRR,107.467987060547
Canada,CA,CAN,2021,SE.SEC.ENRR,108.337341308594
Canada,CA,CAN,2020,SE.SEC.ENRR,109.628059387207
Canada,CA,CAN,2019,SE.SEC.ENRR,110.980072021484
Canada,CA,CAN,2018,SE.SEC.ENRR,111.833679199219
Canada,CA,CAN,2017,SE.SEC.ENRR,111.974517822266
Canada,CA,CAN,2016,SE.SEC.ENRR,111.607330322266
Canada,CA,CAN,2015,SE.SEC.ENRR,111.737281799316
Canada,CA,CAN,2014,SE.SEC.ENRR,111.68155670166
Canada,CA,CAN,2013,SE.SEC.ENRR,111.407608032227
Canada,CA,CAN,2012,SE.SEC.ENRR,110.873832702637
Canada,CA,CAN,2011,SE.SEC.ENRR,102.823951721191
Canada,CA,CAN,2010,SE.SEC.ENRR,102.510261535645
China,CN,CHN,2023,SE.SEC.ENRR,
China,CN,CHN,2022,SE.SEC.ENRR,
China,CN,CHN,2021,SE.SEC.ENRR,
China,CN,CHN,2020,SE.SEC.ENRR,
China,CN,CHN,2019,SE.SEC.ENRR,
China,CN,CHN,2018,SE.SEC.ENRR,
China,CN,CHN,2017,SE.SEC.ENRR,
China,CN,CHN,2016,SE.SEC.ENRR,
China,CN,CHN,2015,SE.SEC.ENRR,
China,CN,CHN,2014,SE.SEC.ENRR,
China,CN,CHN,2013,SE.SEC.ENRR,
China,CN,CHN,2012,SE.SEC.ENRR,92.2603063015232
China,CN,CHN,2011,SE.SEC.ENRR,92.0329425203903
China,CN,CHN,2010,SE.SEC.ENRR,90.7829173331445
Germany,DE,DEU,2023,SE.SEC.ENRR,100.603057861328
Germany,DE,DEU,2022,SE.SEC.ENRR,100.81729888916
Germany,DE,DEU,2021,SE.SEC.ENRR,101.203536987305
Germany,DE,DEU,2020,SE.SEC.ENRR,101.307800292969
Germany,DE,DEU,2019,SE.SEC.ENRR,101.152557373047
Germany,DE,DEU,2018,SE.SEC.ENRR,100.837303161621
Germany,DE,DEU,2017,SE.SEC.ENRR,101.095642089844
Germany,DE,DEU,2016,SE.SEC.ENRR,100.852310180664
Germany,DE,DEU,2015,SE.SEC.ENRR,102.192413330078
Germany,DE,DEU,2014,SE.SEC.ENRR,103.303871154785
Germany,DE,DEU,2013,SE.SEC.ENRR,103.935333251953
Germany,DE,DEU,2012,SE.SEC.ENRR,104.442237854004
Germany,DE,DEU,2011,SE.SEC.ENRR,105.34651184082
Germany,DE,DEU,2010,SE.SEC.ENRR,104.891357421875
Spain,ES,ESP,2023,SE.SEC.ENRR,118.361709594727
Spain,ES,ESP,2022,SE.SEC.ENRR,119.646171569824
Spain,ES,ESP,2021,SE.SEC.ENRR,120.135841369629
Spain,ES,ESP,2020,SE.SEC.ENRR,118.338188171387
Spain,ES,ESP,2019,SE.SEC.ENRR,119.379127502441
Spain,ES,ESP,2018,SE.SEC.ENRR,120.109077453613
Spain,ES,ESP,2017,SE.SEC.ENRR,121.1416015625
Spain,ES,ESP,2016,SE.SEC.ENRR,123.736541748047
Spain,ES,ESP,2015,SE.SEC.ENRR,125.170799255371
Spain,ES,ESP,2014,SE.SEC.ENRR,125.537757873535
Spain,ES,ESP,2013,SE.SEC.ENRR,126.814498901367
Spain,ES,ESP,2012,SE.SEC.ENRR,127.786712646484
Spain,ES,ESP,2011,SE.SEC.ENRR,126.152786254883
Spain,ES,ESP,2010,SE.SEC.ENRR,122.622512817383
France,FR,FRA,2023,SE.SEC.ENRR,103.962417602539
France,FR,FRA,2022,SE.SEC.ENRR,104.316436767578
France,FR,FRA,2021,SE.SEC.ENRR,104.522842407227
France,FR,FRA,2020,SE.SEC.ENRR,104.566566467285
France,FR,FRA,2019,SE.SEC.ENRR,104.07689666748
France,FR,FRA,2018,SE.SEC.ENRR,103.773330688477
France,FR,FRA,2017,SE.SEC.ENRR,103.756080627441
France,FR,FRA,2016,SE.SEC.ENRR,103.308097839355
France,FR,FRA,2015,SE.SEC.ENRR,103.396041870117
France,FR,FRA,2014,SE.SEC.ENRR,103.425827026367
France,FR,FRA,2013,SE.SEC.ENRR,104.376602172852
France,FR,FRA,2012,SE.SEC.ENRR,105.813583374023
France,FR,FRA,2011,SE.SEC.ENRR,106.610641479492
France,FR,FRA,2010,SE.SEC.ENRR,106.424942016602
United Kingdom,GB,GBR,2023,SE.SEC.ENRR,112.120048522949
United Kingdom,GB,GBR,2022,SE.SEC.ENRR,113.202857971191
United Kingdom,GB,GBR,2021,SE.SEC.ENRR,113.719017028809
United Kingdom,GB,GBR,2020,SE.SEC.ENRR,114.617248535156
United Kingdom,GB,GBR,2019,SE.SEC.ENRR,117.156600952148
United Kingdom,GB,GBR,2018,SE.SEC.ENRR,120.088279724121
United Kingdom,GB,GBR,2017,SE.SEC.ENRR,125.62979888916
United Kingdom,GB,GBR,2016,SE.SEC.ENRR,
United Kingdom,GB,GBR,2015,SE.SEC.ENRR,126.110870361328
United Kingdom,GB,GBR,2014,SE.SEC.ENRR,128.822494506836
United Kingdom,GB,GBR,2013,SE.SEC.ENRR,126.064338684082
United Kingdom,GB,GBR,2012,SE.SEC.ENRR,92.5272903442383
United Kingdom,GB,GBR,2011,SE.SEC.ENRR,94.1645202636719
United Kingdom,GB,GBR,2010,SE.SEC.ENRR,103.461151123047
Italy,IT,ITA,2023,SE.SEC.ENRR,100.678756713867
Italy,IT,ITA,2022,SE.SEC.ENRR,101.353858947754
Italy,IT,ITA,2021,SE.SEC.ENRR,101.834869384766
Italy,IT,ITA,2020,SE.SEC.ENRR,101.836128234863
Italy,IT,ITA,2019,SE.SEC.ENRR,101.74178314209
Italy,IT,ITA,2018,SE.SEC.ENRR,101.526412963867
Italy,IT,ITA,2017,SE.SEC.ENRR,101.01001739502
Italy,IT,ITA,2016,SE.SEC.ENRR,100.742958068848
Italy,IT,ITA,2015,SE.SEC.ENRR,101.228088378906
Italy,IT,ITA,2014,SE.SEC.ENRR,101.121726989746
Italy,IT,ITA,2013,SE.SEC.ENRR,100.973121643066
Italy,IT,ITA,2012,SE.SEC.ENRR,100.449836730957
Italy,IT,ITA,2011,SE.SEC.ENRR,101.59642791748
Italy,IT,ITA,2010,SE.SEC.ENRR,101.401161193848
Japan,JP,JPN,2023,SE.SEC.ENRR,101.537071228027
Japan,JP,JPN,2022,SE.SEC.ENRR,101.38200378418
Japan,JP,JPN,2021,SE.SEC.ENRR,101.744400024414
Japan,JP,JPN,2020,SE.SEC.ENRR,101.34056854248
Japan,JP,JPN,2019,SE.SEC.ENRR,100.660270690918
Japan,JP,JPN,2018,SE.SEC.ENRR,100.482200622559
Japan,JP,JPN,2017,SE.SEC.ENRR,100.260749816895
Japan,JP,JPN,2016,SE.SEC.ENRR,101.296928405762
Japan,JP,JPN,2015,SE.SEC.ENRR,101.724517822266
Japan,JP,JPN,2014,SE.SEC.ENRR,101.036422729492
Japan,JP,JPN,2013,SE.SEC.ENRR,101.049438476562
Japan,JP,JPN,2012,SE.SEC.ENRR,
Japan,JP,JPN,2011,SE.SEC.ENRR,
Japan,JP,JPN,2010,SE.SEC.ENRR,
Mexico,MX,MEX,2023,SE.SEC.ENRR,102.055458068848
Mexico,MX,MEX,2022,SE.SEC.ENRR,98.3576583862305
Mexico,MX,MEX,2021,SE.SEC.ENRR,98.3202514648438
Mexico,MX,MEX,2020,SE.SEC.ENRR,102.58154296875
Mexico,MX,MEX,2019,SE.SEC.ENRR,105.515609741211
Mexico,MX,MEX,2018,SE.SEC.ENRR,105.964653015137
Mexico,MX,MEX,2017,SE.SEC.ENRR,105.11018371582
Mexico,MX,MEX,2016,SE.SEC.ENRR,102.871368408203
Mexico,MX,MEX,2015,SE.SEC.ENRR,100.982269287109
Mexico,MX,MEX,2014,SE.SEC.ENRR,97.3196868896484
Mexico,MX,MEX,2013,SE.SEC.ENRR,93.2623062133789
Mexico,MX,MEX,2012,SE.SEC.ENRR,90.6936187744141
Mexico,MX,MEX,2011,SE.SEC.ENRR,88.3800888061523
Mexico,MX,MEX,2010,SE.SEC.ENRR,87.2729263305664
Netherlands,NL,NLD,2023,SE.SEC.ENRR,137.514724731445
Netherlands,NL,NLD,2022,SE.SEC.ENRR,138.767501831055
Netherlands,NL,NLD,2021,SE.SEC.ENRR,135.962173461914
Netherlands,NL,NLD,2020,SE.SEC.ENRR,136.284164428711
Netherlands,NL,NLD,2019,SE.SEC.ENRR,114.804168701172
Netherlands,NL,NLD,2018,SE.SEC.ENRR,114.50032043457
Netherlands,NL,NLD,2017,SE.SEC.ENRR,115.225227355957
Netherlands,NL,NLD,2016,SE.SEC.ENRR,112.994277954102
Netherlands,NL,NLD,2015,SE.SEC.ENRR,114.137916564941
Netherlands,NL,NLD,2014,SE.SEC.ENRR,
Netherlands,NL,NLD,2013,SE.SEC.ENRR,
Netherlands,NL,NLD,2012,SE.SEC.ENRR,111.448249816895
Netherlands,NL,NLD,2011,SE.SEC.ENRR,129.868103027344
Netherlands,NL,NLD,2010,SE.SEC.ENRR,124.569526672363
Poland,PL,POL,2023,SE.SEC.ENRR,108.386131286621
Poland,PL,POL,2022,SE.SEC.ENRR,108.48217010498
Poland,PL,POL,2021,SE.SEC.ENRR,110.52970123291
Poland,PL,POL,2020,SE.SEC.ENRR,112.576263427734
Poland,PL,POL,2019,SE.SEC.ENRR,109.753303527832
Poland,PL,POL,2018,SE.SEC.ENRR,110.541938781738
Poland,PL,POL,2017,SE.SEC.ENRR,109.45922088623
Poland,PL,POL,2016,SE.SEC.ENRR,109.117248535156
Poland,PL,POL,2015,SE.SEC.ENRR,109.41478729248
Poland,PL,POL,2014,SE.SEC.ENRR,110.031021118164
Poland,PL,POL,2013,SE.SEC.ENRR,111.516960144043
Poland,PL,POL,2012,SE.SEC.ENRR,100.56485748291
Poland,PL,POL,2011,SE.SEC.ENRR,100.617851257324
Poland,PL,POL,2010,SE.SEC.ENRR,100.207778930664
Sweden,SE,SWE,2023,SE.SEC.ENRR,134.244293212891
Sweden,SE,SWE,2022,SE.SEC.ENRR,139.406524658203
Sweden,SE,SWE,2021,SE.SEC.ENRR,138.688186645508
Sweden,SE,SWE,2020,SE.SEC.ENRR,136.426132202148
Sweden,SE,SWE,2019,SE.SEC.ENRR,136.641006469727
Sweden,SE,SWE,2018,SE.SEC.ENRR,140.821746826172
Sweden,SE,SWE,2017,SE.SEC.ENRR,142.641586303711
Sweden,SE,SWE,2016,SE.SEC.ENRR,137.561157226562
Sweden,SE,SWE,2015,SE.SEC.ENRR,137.462966918945
Sweden,SE,SWE,2014,SE.SEC.ENRR,133.660247802734
Sweden,SE,SWE,2013,SE.SEC.ENRR,132.713500976562
Sweden,SE,SWE,2012,SE.SEC.ENRR,103.106872558594
Sweden,SE,SWE,2011,SE.SEC.ENRR,102.14037322998
Sweden,SE,SWE,2010,SE.SEC.ENRR,102.25106048584
United States,US,USA,2023,SE.SEC.ENRR,
United States,US,USA,2022,SE.SEC.ENRR,97.4734878540039
United States,US,USA,2021,SE.SEC.ENRR,101.192489624023
United States,US,USA,2020,SE.SEC.ENRR,100.509819030762
United States,US,USA,2019,SE.SEC.ENRR,100.063430786133
United States,US,USA,2018,SE.SEC.ENRR,99.2755813598633
United States,US,USA,2017,SE.SEC.ENRR,98.9523391723633
United States,US,USA,2016,SE.SEC.ENRR,98.7699279785156
United States,US,USA,2015,SE.SEC.ENRR,97.6525497436523
United States,US,USA,2014,SE.SEC.ENRR,96.9245376586914
United States,US,USA,2013,SE.SEC.ENRR,96.1864929199219
United States,US,USA,2012,SE.SEC.ENRR,
United States,US,USA,2011,SE.SEC.ENRR,
United States,US,USA,2010,SE.SEC.ENRR,
Australia,AU,AUS,2023,SE.SEC.ENRR,134.099243164062
Australia,AU,AUS,2022,SE.SEC.ENRR,133.277267456055
Australia,AU,AUS,2021,SE.SEC.ENRR,135.526565551758
Australia,AU,AUS,2020,SE.SEC.ENRR,137.490737915039
Australia,AU,AUS,2019,SE.SEC.ENRR,144.056564331055
Australia,AU,AUS,2018,SE.SEC.ENRR,136.105545043945
Australia,AU,AUS,2017,SE.SEC.ENRR,153.576126098633
Australia,AU,AUS,2016,SE.SEC.ENRR,155.594390869141
Australia,AU,AUS,2015,SE.SEC.ENRR,159.110763549805
Australia,AU,AUS,2014,SE.SEC.ENRR,
Australia,AU,AUS,2013,SE.SEC.ENRR,
Australia,AU,AUS,2012,SE.SEC.ENRR,
Australia,AU,AUS,2011,SE.SEC.ENRR,
Australia,AU,AUS,2010,SE.SEC.ENRR,
Chile,CL,CHL,2023,SE.SEC.ENRR,105.83097076416
Chile,CL,CHL,2022,SE.SEC.ENRR,106.068328857422
Chile,CL,CHL,2021,SE.SEC.ENRR,106.673522949219
Chile,CL,CHL,2020,SE.SEC.ENRR,103.691688537598
Chile,CL,CHL,2019,SE.SEC.ENRR,104.405769348145
Chile,CL,CHL,2018,SE.SEC.ENRR,103.173049926758
Chile,CL,CHL,2017,SE.SEC.ENRR,102.294822692871
Chile,CL,CHL,2016,SE.SEC.ENRR,101.488136291504
Chile,CL,CHL,2015,SE.SEC.ENRR,100.921676635742
Chile,CL,CHL,2014,SE.SEC.ENRR,99.8654403686523
Chile,CL,CHL,2013,SE.SEC.ENRR,99.1520767211914
Chile,CL,CHL,2012,SE.SEC.ENRR,89.5031433105469
Chile,CL,CHL,2011,SE.SEC.ENRR,90.9826202392578
Chile,CL,CHL,2010,SE.SEC.ENRR,90.99951171875
Colombia,CO,COL,2023,SE.SEC.ENRR,
Colombia,CO,COL,2022,SE.SEC.ENRR,101.573776245117
Colombia,CO,COL,2021,SE.SEC.ENRR,102.987998962402
Colombia,CO,COL,2020,SE.SEC.ENRR,101.499450683594
Colombia,CO,COL,2019,SE.SEC.ENRR,101.989349365234
Colombia,CO,COL,2018,SE.SEC.ENRR,100.373336791992
Colombia,CO,COL,2017,SE.SEC.ENRR,99.2193298339844
Colombia,CO,COL,2016,SE.SEC.ENRR,98.4156265258789
Colombia,CO,COL,2015,SE.SEC.ENRR,97.6741180419922
Colombia,CO,COL,2014,SE.SEC.ENRR,97.3632888793945
Colombia,CO,COL,2013,SE.SEC.ENRR,98.1015014648438
Colombia,CO,COL,2012,SE.SEC.ENRR,97.2326889038086
Colombia,CO,COL,2011,SE.SEC.ENRR,101.20581817627
Colombia,CO,COL,2010,SE.SEC.ENRR,99.9543685913086
"Egypt, Arab Rep.",EG,EGY,2023,SE.SEC.ENRR,84.474862198776
"Egypt, Arab Rep.",EG,EGY,2022,SE.SEC.ENRR,
"Egypt, Arab Rep.",EG,EGY,2021,SE.SEC.ENRR,81.8833487066739
"Egypt, Arab Rep.",EG,EGY,2020,SE.SEC.ENRR,79.6544750074231
"Egypt, Arab Rep.",EG,EGY,2019,SE.SEC.ENRR,77.9093978841525
"Egypt, Arab Rep.",EG,EGY,2018,SE.SEC.ENRR,76.9816189396849
"Egypt, Arab Rep.",EG,EGY,2017,SE.SEC.ENRR,76.4337653082262
"Egypt, Arab Rep.",EG,EGY,2016,SE.SEC.ENRR,75.7524086692863
"Egypt, Arab Rep.",EG,EGY,2015,SE.SEC.ENRR,
"Egypt, Arab Rep.",EG,EGY,2014,SE.SEC.ENRR,73.3723421134374
"Egypt, Arab Rep.",EG,EGY,2013,SE.SEC.ENRR,73.8954466194364
"Egypt, Arab Rep.",EG,EGY,2012,SE.SEC.ENRR,73.0182495117188
"Egypt, Arab Rep.",EG,EGY,2011,SE.SEC.ENRR,72.5487594604492
"Egypt, Arab Rep.",EG,EGY,2010,SE.SEC.ENRR,64.7296371459961
Indonesia,ID,IDN,2023,SE.SEC.ENRR,96.0002120295081
Indonesia,ID,IDN,2022,SE.SEC.ENRR,97.8167602714893
Indonesia,ID,IDN,2021,SE.SEC.ENRR,97.8441479813619
Indonesia,ID,IDN,2020,SE.SEC.ENRR,96.9345779132931
Indonesia,ID,IDN,2019,SE.SEC.ENRR,94.9467044891028
Indonesia,ID,IDN,2018,SE.SEC.ENRR,92.8120739600443
Indonesia,ID,IDN,2017,SE.SEC.ENRR,90.9455391241064
Indonesia,ID,IDN,2016,SE.SEC.ENRR,87.8191791728036
Indonesia,ID,IDN,2015,SE.SEC.ENRR,87.8423207929976
Indonesia,ID,IDN,2014,SE.SEC.ENRR,83.5559949258569
Indonesia,ID,IDN,2013,SE.SEC.ENRR,81.8896974781343
Indonesia,ID,IDN,2012,SE.SEC.ENRR,80.0926818847656
Indonesia,ID,IDN,2011,SE.SEC.ENRR,78.1330718994141
Indonesia,ID,IDN,2010,SE.SEC.ENRR,75.6519088745117
India,IN,IND,2023,SE.SEC.ENRR,78.8639591218839
India,IN,IND,2022,SE.SEC.ENRR,81.1778608399708
India,IN,IND,2021,SE.SEC.ENRR,80.6246396728944
India,IN,IND,2020,SE.SEC.ENRR,77.6271548412386
India,IN,IND,2019,SE.SEC.ENRR,75.8716506958008
India,IN,IND,2018,SE.SEC.ENRR,76.0025787353516
India,IN,IND,2017,SE.SEC.ENRR,74.6743774414062
India,IN,IND,2016,SE.SEC.ENRR,75.9372863769531
India,IN,IND,2015,SE.SEC.ENRR,74.6113662719727
India,IN,IND,2014,SE.SEC.ENRR,74.8887023925781
India,IN,IND,2013,SE.SEC.ENRR,69.4771270751953
India,IN,IND,2012,SE.SEC.ENRR,69.8089599609375
India,IN,IND,2011,SE.SEC.ENRR,67.1251678466797
India,IN,IND,2010,SE.SEC.ENRR,64.9475936889648
"Korea, Rep.",KR,KOR,2023,SE.SEC.ENRR,96.2983932495117
"Korea, Rep.",KR,KOR,2022,SE.SEC.ENRR,97.8181304931641
"Korea, Rep.",KR,KOR,2021,SE.SEC.ENRR,98.0692291259766
"Korea, Rep.",KR,KOR,2020,SE.SEC.ENRR,97.0888214111328
"Korea, Rep.",KR,KOR,2019,SE.SEC.ENRR,98.3813018798828
"Korea, Rep.",KR,KOR,2018,SE.SEC.ENRR,99.3186569213867
"Korea, Rep.",KR,KOR,2017,SE.SEC.ENRR,99.105583190918
"Korea, Rep.",KR,KOR,2016,SE.SEC.ENRR,98.7179565429688
"Korea, Rep.",KR,KOR,2015,SE.SEC.ENRR,98.5931930541992
"Korea, Rep.",KR,KOR,2014,SE.SEC.ENRR,98.5806732177734
"Korea, Rep.",KR,KOR,2013,SE.SEC.ENRR,97.8287506103516
"Korea, Rep.",KR,KOR,2012,SE.SEC.ENRR,97.3674163818359
"Korea, Rep.",KR,KOR,2011,SE.SEC.ENRR,97.5294189453125
"Korea, Rep.",KR,KOR,2010,SE.SEC.ENRR,97.2930603027344
Nigeria,NG,NGA,2023,SE.SEC.ENRR,46.8931503295898
Nigeria,NG,NGA,2022,SE.SEC.ENRR,
Nigeria,NG,NGA,2021,SE.SEC.ENRR,45.444938659668
Nigeria,NG,NGA,2020,SE.SEC.ENRR,44.1220893859863
Nigeria,NG,NGA,2019,SE.SEC.ENRR,
Nigeria,NG,NGA,2018,SE.SEC.ENRR,40.4885292053223
Nigeria,NG,NGA,2017,SE.SEC.ENRR,
Nigeria,NG,NGA,2016,SE.SEC.ENRR,39.3068084716797
Nigeria,NG,NGA,2015,SE.SEC.ENRR,43.8246917724609
Nigeria,NG,NGA,2014,SE.SEC.ENRR,42.7821502685547
Nigeria,NG,NGA,2013,SE.SEC.ENRR,52.7967300415039
Nigeria,NG,NGA,2012,SE.SEC.ENRR,44.4557914733887
Nigeria,NG,NGA,2011,SE.SEC.ENRR,43.0239906311035
Nigeria,NG,NGA,2010,SE.SEC.ENRR,41.7837982177734
Russian Federation,RU,RUS,2023,SE.SEC.ENRR,92.4840470838527
Russian Federation,RU,RUS,2022,SE.SEC.ENRR,92.7729443625069
Russian Federation,RU,RUS,2021,SE.SEC.ENRR,92.171155276901
Russian Federation,RU,RUS,2020,SE.SEC.ENRR,91.5812884026933
Russian Federation,RU,RUS,2019,SE.SEC.ENRR,100.471744682473
Russian Federation,RU,RUS,2018,SE.SEC.ENRR,99.1831046517789
Russian Federation,RU,RUS,2017,SE.SEC.ENRR,97.5206298303399
Russian Federation,RU,RUS,2016,SE.SEC.ENRR,95.8434944997854
Russian Federation,RU,RUS,2015,SE.SEC.ENRR,96.3292563031308
Russian Federation,RU,RUS,2014,SE.SEC.ENRR,95.6056322692131
Russian Federation,RU,RUS,2013,SE.SEC.ENRR,95.9993761959632
Russian Federation,RU,RUS,2012,SE.SEC.ENRR,95.5384826756866
Russian Federation,RU,RUS,2011,SE.SEC.ENRR,94.5758904929741
Russian Federation,RU,RUS,2010,SE.SEC.ENRR,
Saudi Arabia,SA,SAU,2023,SE.SEC.ENRR,
Saudi Arabia,SA,SAU,2022,SE.SEC.ENRR,122.158039993668
Saudi Arabia,SA,SAU,2021,SE.SEC.ENRR,104.280975297041
Saudi Arabia,SA,SAU,2020,SE.SEC.ENRR,104.411027399625
Saudi Arabia,SA,SAU,2019,SE.SEC.ENRR,104.048257824894
Saudi Arabia,SA,SAU,2018,SE.SEC.ENRR,106.376211565111
Saudi Arabia,SA,SAU,2017,SE.SEC.ENRR,106.244903966787
Saudi Arabia,SA,SAU,2016,SE.SEC.ENRR,105.491550199825
Saudi Arabia,SA,SAU,2015,SE.SEC.ENRR,102.979200639837
Saudi Arabia,SA,SAU,2014,SE.SEC.ENRR,98.8496091524944
Saudi Arabia,SA,SAU,2013,SE.SEC.ENRR,93.0168905157466
Saudi Arabia,SA,SAU,2012,SE.SEC.ENRR,
Saudi Arabia,SA,SAU,2011,SE.SEC.ENRR,
Saudi Arabia,SA,SAU,2010,SE.SEC.ENRR,
Singapore,SG,SGP,2023,SE.SEC.ENRR,103.082801906213
Singapore,SG,SGP,2022,SE.SEC.ENRR,103.009804103267
Singapore,SG,SGP,2021,SE.SEC.ENRR,102.951274385922
Singapore,SG,SGP,2020,SE.SEC.ENRR,103.115839213946
Singapore,SG,SGP,2019,SE.SEC.ENRR,104.621987875083
Singapore,SG,SGP,2018,SE.SEC.ENRR,105.745250914262
Singapore,SG,SGP,2017,SE.SEC.ENRR,107.472873863465
Singapore,SG,SGP,2016,SE.SEC.ENRR,107.745868589242
Singapore,SG,SGP,2015,SE.SEC.ENRR,
Singapore,SG,SGP,2014,SE.SEC.ENRR,
Singapore,SG,SGP,2013,SE.SEC.ENRR,
Singapore,SG,SGP,2012,SE.SEC.ENRR,
Singapore,SG,SGP,2011,SE.SEC.ENRR,
Singapore,SG,SGP,2010,SE.SEC.ENRR,
Turkiye,TR,TUR,2023,SE.SEC.ENRR,118.411979675293
Turkiye,TR,TUR,2022,SE.SEC.ENRR,116.040176391602
Turkiye,TR,TUR,2021,SE.SEC.ENRR,114.147331237793
Turkiye,TR,TUR,2020,SE.SEC.ENRR,112.527458190918
Turkiye,TR,TUR,2019,SE.SEC.ENRR,111.910400390625
Turkiye,TR,TUR,2018,SE.SEC.ENRR,112.115409851074
Turkiye,TR,TUR,2017,SE.SEC.ENRR,112.977333068848
Turkiye,TR,TUR,2016,SE.SEC.ENRR,108.547561645508
Turkiye,TR,TUR,2015,SE.SEC.ENRR,107.243186950684
Turkiye,TR,TUR,2014,SE.SEC.ENRR,105.97550201416
Turkiye,TR,TUR,2013,SE.SEC.ENRR,102.209701538086
Turkiye,TR,TUR,2012,SE.SEC.ENRR,85.0204315185547
Turkiye,TR,TUR,2011,SE.SEC.ENRR,87.80322265625
Turkiye,TR,TUR,2010,SE.SEC.ENRR,84.2024002075195
Viet Nam,VN,VNM,2023,SE.SEC.ENRR,
Viet Nam,VN,VNM,2022,SE.SEC.ENRR,93.4123434096522
Viet Nam,VN,VNM,2021,SE.SEC.ENRR,92.7690209240401
Viet Nam,VN,VNM,2020,SE.SEC.ENRR,93.1921389514105
Viet Nam,VN,VNM,2019,SE.SEC.ENRR,94.654621676317
Viet Nam,VN,VNM,2018,SE.SEC.ENRR,92.8377710790826
Viet Nam,VN,VNM,2017,SE.SEC.ENRR,91.0725198149335
Viet Nam,VN,VNM,2016,SE.SEC.ENRR,90.1583347107672
Viet Nam,VN,VNM,2015,SE.SEC.ENRR,89.4548341262217
Viet Nam,VN,VNM,2014,SE.SEC.ENRR,
Viet Nam,VN,VNM,2013,SE.SEC.ENRR,
Viet Nam,VN,VNM,2012,SE.SEC.ENRR,
Viet Nam,VN,VNM,2011,SE.SEC.ENRR,
Viet Nam,VN,VNM,2010,SE.SEC.ENRR,
South Africa,ZA,ZAF,2023,SE.SEC.ENRR,104.133480684239
South Africa,ZA,ZAF,2022,SE.SEC.ENRR,104.535066506498
South Africa,ZA,ZAF,2021,SE.SEC.ENRR,106.443303990911
South Africa,ZA,ZAF,2020,SE.SEC.ENRR,103.501178102472
South Africa,ZA,ZAF,2019,SE.SEC.ENRR,103.78912033531
South Africa,ZA,ZAF,2018,SE.SEC.ENRR,101.399612936693
South Africa,ZA,ZAF,2017,SE.SEC.ENRR,105.623168945312
South Africa,ZA,ZAF,2016,SE.SEC.ENRR,103.855987548828
South Africa,ZA,ZAF,2015,SE.SEC.ENRR,104.622812990742
South Africa,ZA,ZAF,2014,SE.SEC.ENRR,101.163200378418
South Africa,ZA,ZAF,2013,SE.SEC.ENRR,
South Africa,ZA,ZAF,2012,SE.SEC.ENRR,92.1625137329102
South Africa,ZA,ZAF,2011,SE.SEC.ENRR,88.9442291259766
South Africa,ZA,ZAF,2010,SE.SEC.ENRR,86.5922045596808
Argentina,AR,ARG,2023,SE.SEC.CMPT.LO.ZS,94.9912129208669
Argentina,AR,ARG,2022,SE.SEC.CMPT.LO.ZS,98.835082764839
Argentina,AR,ARG,2021,SE.SEC.CMPT.LO.ZS,108.654791754836
Argentina,AR,ARG,2020,SE.SEC.CMPT.LO.ZS,95.4634370496692
Argentina,AR,ARG,2019,SE.SEC.CMPT.LO.ZS,95.934230151279
Argentina,AR,ARG,2018,SE.SEC.CMPT.LO.ZS,93.526051028572
Argentina,AR,ARG,2017,SE.SEC.CMPT.LO.ZS,91.8118218441298
